"observationID","phylum","class","order","family","genus","specificEpithet","sex","measurementType","measurementValue","measurementUnit","temperature","respiratoryQuotient","sampleSizeValue","comments","reference","inTextReference","publicationYear","fullReference","measurementMethod","metadataComment"
6,"Chordata","Aves","Passeriformes","Nectariniidae","Hedydipna","collaris",,"metabolic rate ",187.7,"J/g/h",25,,3,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",""
7,"Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","veroxii",,"mass",8.4,"g",,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1",,
7,"Chordata","Aves","Passeriformes","Nectariniidae","Cyanomitra","veroxii",,"metabolic rate ",190.7,"J/g/h",25,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",""
8,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","adelberti",,"mass",9.5,"g",,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1",,
8,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","adelberti",,"metabolic rate ",168.6,"J/g/h",25,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",""
9,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","amethystina",,"mass",10,"g",,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1",,
9,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","amethystina",,"metabolic rate ",147.3,"J/g/h",25,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",""
10,"Chordata","Aves","Passeriformes","Nectariniidae","Anthreptes","orientalis",,"mass",11.8,"g",,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1",,
10,"Chordata","Aves","Passeriformes","Nectariniidae","Anthreptes","orientalis",,"metabolic rate ",110.5,"J/g/h",25,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",""
11,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","senegalensis",,"mass",12.6,"g",,,2,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1",,
11,"Chordata","Aves","Passeriformes","Nectariniidae","Chalcomitra","senegalensis",,"metabolic rate ",112,"J/g/h",25,,2,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",""
12,"Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","tacazze",,"mass",13.5,"g",,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1",,
12,"Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","tacazze",,"metabolic rate ",158,"J/g/h",25,,1,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",""
13,"Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","killmensis",,"mass",14.2,"g",,,2,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1",,
13,"Chordata","Aves","Passeriformes","Nectariniidae","Nectarinia","killmensis",,"metabolic rate ",139.1,"J/g/h",25,,2,,57,"Prinzinger, Lübben, & Schuchmann, 1989","1989","Prinzinger, R., Lübben, I., & Schuchmann, K. L. (1989). Energy metabolism and body temperature in 13 sunbird species (Nectariniidae). Comparative Biochemistry and Physiology Part A: Physiology, 92(3), 393-402. doi:10.1016/0300-9629(89)90581-1","basal metabolic rate",""
